action_name,class,method,result_name,result_type,result_value
"medical1","admin","medical1","success","tiles","medical1"
"medical2","admin","medical2","success","tiles","medical2"
"medical3","admin","medical3","success","tiles","medical3"
"medical4","admin","medical4","success","tiles","medical4"
"medical5","admin","medical5","success","tiles","medical5"
"medical6","admin","medical6","success","tiles","medical6"
"administation","admin","administation","success","tiles","administation"
"administation1","admin","administation1","success","tiles","administation1"
"administation2","admin","administation2","success","tiles","administation2"
"administation3","admin","administation3","success","tiles","administation3"
"Drugs","admin","Drugs","success","tiles","Drugs"
"drug1","admin","drug1","success","tiles","drug1"
"drug2","admin","drug2","success","tiles","drug2"
"drug3","admin","drug3","success","tiles","drug3"
"labmain","admin","lab","success","tiles","labmain"
"lab1","admin","lab1","success","tiles","lab1"
"lab2","admin","lab2","success","tiles","lab2"
"lab3","admin","lab3","success","tiles","lab3"
"lab4","admin","lab4","success","tiles","lab4"
"lab5","admin","lab5","success","tiles","lab5"
"lab6","admin","lab6","success","tiles","lab6"
"lab7","admin","lab7","success","tiles","lab7"
"lab8","admin","lab8","success","tiles","lab8"
"lab9","admin","lab9","success","tiles","lab9"
"lab10","admin","lab10","success","tiles","lab10"
"lab11","admin","lab11","success","tiles","lab11"
"Labwhatapp","admin","Labwhatsapp","success","tiles","Labwhatsapp"
"Labwhatapp2","admin","Labwhatsapp2","success","tiles","Labwhatsapp2"
"Labwhatapp3","admin","Labwhatsapp3","success","tiles","Labwhatsapp3"
"Labwhatapp4","admin","Labwhatsapp4","success","tiles","Labwhatsapp4"
"gentral","admin","gentral","success","tiles","gentral"
"gentral2","admin","gentral2","success","tiles","gentral2"
"gentral3","admin","gentral3","success","tiles","gentral3"
"IPmodule","admin","IPmodule","success","tiles","IPmodule"
"IPbilling","admin","IPbilling","success","tiles","IPbilling"
"IPmaster","admin","IPmaster","success","tiles","IPmaster"
"Advancecancel","admin","Advancecancel","success","tiles","Advancecancel"
"Dischargelist","admin","Dischargelist","success","tiles","Dischargelist"
"canceladmision","admin","canceladmision","success","tiles","canceladmision"
"IPdischarge","admin","IPdischarge","success","tiles","IPdischarge"
"insurance","admin","insurance","success","tiles","insurance"
"insurancepre","admin","insurancepre","success","tiles","insurancepre"
"insuranceapproval","admin","insuranceapproval","success","tiles","insuranceapproval"
"insuranceclaim","admin","insuranceclaim","success","tiles","insuranceclaim"
"insurancereject","admin","insurancereject","success","tiles","insurancereject"
"insurancecompany","admin","insurancecompany","success","tiles","insurancecompany"
"Ipreg","admin","Ipreg","success","tiles","Ipreg"
"Alreadyreg","admin","Alreadyreg","success","tiles","Alreadyreg"
"Admissionview","admin","Admissionview","success","tiles","Admissionview"
"inpatientlist","admin","inpatientlist","success","tiles","inpatientlist"
"Advanceamount","admin","Advanceamount","success","tiles","Advanceamount"
"Ipcollection","admin","Ipcollection","success","tiles","Ipcollection"
"dischargesummary1","admin","dischargesummary1","success","tiles","dischargesummary1"
"dischargesummary2","admin","dischargesummary2","success","tiles","dischargesummary2"
"inpatientreport","admin","inpatientreport","success","tiles","inpatientreport"
"ipbillingcateroy","admin","ipbillingcateroy","success","tiles","ipbillingcateroy"
"ipbillingcomponent","admin","ipbillingcomponent","success","tiles","ipbillingcomponent"
"room","admin","room","success","tiles","room"
"roomtype","admin","roomtype","success","tiles","roomtype"
"roomnumber","admin","roomnumber","success","tiles","roomnumber"
"roomavab","admin","roomavab","success","tiles","roomavab"
"billing","admin","billing","success","tiles","billing"
"billing1","admin","billing1","success","tiles","billing1"
"billing2","admin","billing2","success","tiles","billing2"
"billing3","admin","billing3","success","tiles","billing3"
"billing4","admin","billing4","success","tiles","billing4"
"billing5","admin","billing5","success","tiles","billing5"
"billing6","admin","billing6","success","tiles","billing6"
"billing7","admin","billing7","success","tiles","billing7"
"billing8","admin","billing8","success","tiles","billing8"
"billing9","admin","billing9","success","tiles","billing9"
"billing10","admin","billing10","success","tiles","billing10"
"faqmain","admin","faqmain","success","tiles","faqmain"
"GetAppointment","user","getAppointment","success","tiles","show-slots"
"Patreg","admin","patreg","success","tiles","patreg"
"Patreg1","admin","patreg1","success","tiles","patreg1"
"Patreg2","admin","patreg2","success","tiles","patreg2"
"Patreg3","admin","patreg3","success","tiles","patreg3"
"Patreg4","admin","patreg4","success","tiles","patreg4"
"Patreg5","admin","patreg5","success","tiles","patreg5"
"Patreg6","admin","patreg6","success","tiles","patreg6"
"PharmacyBilling","admin","PharmacyBilling","success","tiles","PharmacyBilling"
"PharmacyBilling1","admin","PharmacyBilling1","success","tiles","PharmacyBilling1"
"PharmacyBilling2","admin","PharmacyBilling2","success","tiles","PharmacyBilling2"
"PharmacyBilling3","admin","PharmacyBilling3","success","tiles","PharmacyBilling3"
"PharmacyBilling4","admin","PharmacyBilling4","success","tiles","PharmacyBilling4"
"PharmacyBilling5","admin","PharmacyBilling5","success","tiles","PharmacyBilling5"
