action_name,class,method,result_name,result_type,result_value,resolved_jsp
"attendence","admin","attendence","success","tiles","apntreq","/HMS Android/AppointmentRequest.jsp?main=2&amp;sub=2"
"appointmentlog","admin","appointmentlog","success","tiles","appointmentlog","/HMS Android/Appointmentlog.jsp?main=2&amp;sub=5"
"appointmentlog1","admin","appointmentlog1","success","tiles","appointmentlog1","/HMS Android/Appointmentlog1.jsp?main=2&amp;sub=5"
"appointmentDashboardt","admin","appointmentDashboard","success","tiles","dashboard","/HMS Android/ConsultantDash.jsp?main=2&amp;sub=2"
"getFileUpload","admin","getFileUpload","success","tiles","get-File-Upload","/HMS Android/ReportRequisitionInput.jsp?main=6&amp;sub=1"
"getFileUploadlab","admin","getFileUploadlab","success","tiles","get-File-Uploadlab","/HMS Android/ReportRequisitionInputlab.jsp?main=32&amp;sub=1"
"getFileUploadForPatient","user","bookAppointmentCon1","success","tiles","get-File-Upload-patient","/HMS Android/fileuploads.jsp?main=6&amp;sub=1"
"getFileUploadForPatientlab","user","bookAppointmentCon1lab","success","tiles","get-File-Upload-patientlab","/HMS Android/fileuploadlab.jsp?main=32&amp;sub=1"
"getFileUploadForPatient1","user","bookAppointmentOthers","success","tiles","get-File-Upload-otherspatient","/HMS Android/fileuploadothers.jsp?main=6&amp;sub=1"
"getFileUploadForDoctor","admin","getFileUploadForDoctor","success","tiles","get-File-Upload-doctor","/HMS Android/fileUploadDoc.jsp?main=6&amp;sub=1"
"getFileUploadForDoctor1","admin","getFileUploadForDoctor1","success","tiles","get-File-Upload-doctor1","/HMS Android/fileuploaddocself.jsp?main=6&amp;sub=1"
"viewFileUpload","admin","viewFileUpload","success","tiles","view-File-Upload","/Xray/fileCheckNFinput.jsp?main=24&amp;sub=5"
"viewFileUpload","lab","viewFileUpload","success","tiles","view-File-Upload","/Xray/fileCheckNFinput.jsp?main=24&amp;sub=5"
"userImage","admin","fileUpload","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImage","admin","fileUpload","input","tiles","UserImage.jsp",""
"userImage","admin","fileUpload","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImage","admin","fileUpload","input","tiles","UserImage.jsp",""
"userImageForPatient","admin","fileUpload","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImageForPatient","admin","fileUpload","error","tiles","common-errors","/HMS Android/Failure1.jsp?main=1&amp;sub=1"
"userImageForPatient","admin","fileUpload","input","tiles","UserImage.jsp",""
"userImageForPatient1","admin","fileUpload1","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImageForPatient1","admin","fileUpload1","error","tiles","common-errors","/HMS Android/Failure1.jsp?main=1&amp;sub=1"
"userImageForPatient1","admin","fileUpload1","input","tiles","UserImage.jsp",""
"userImageForPatient2","admin","fileUpload2","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImageForPatient2","admin","fileUpload2","error","tiles","common-errors","/HMS Android/Failure1.jsp?main=1&amp;sub=1"
"userImageForPatient2","admin","fileUpload2","input","tiles","UserImage.jsp",""
"userImageForPatient3","admin","fileUpload3","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImageForPatient3","admin","fileUpload3","error","tiles","common-errors","/HMS Android/Failure1.jsp?main=1&amp;sub=1"
"userImageForPatient3","admin","fileUpload3","input","tiles","UserImage.jsp",""
"userImageForPatient3one","admin","fileUpload3one","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImageForPatient3one","admin","fileUpload3one","error","tiles","common-errors","/HMS Android/Failure1.jsp?main=1&amp;sub=1"
"userImageForPatient3one","admin","fileUpload3one","input","tiles","UserImage.jsp",""
"userImageForDoc","admin","fileUploadDoc","success","tiles","SuccessUserImage","/HMS Android/NewFile.jsp?main=6&amp;sub=1"
"userImageForDoc","admin","fileUploadDoc","input","tiles","UserImage.jsp",""
"checkPatientSearchDetails","admin","confirmSearchPatientlab","success","tiles","front-patient-search-details","/HMS Android/fileuploads.jsp?main=6&amp;sub=1"
"checkPatientSearchDetailslab","admin","confirmSearchPatientlab","success","tiles","front-patient-search-detailslab","/HMS Android/fileuploadlab.jsp?main=32&amp;sub=1"
"checkPatientSearchDetailslabone","admin","confirmSearchPatientlab","success","tiles","front-patient-search-detailslabone","/HMS Android/fileUpload.jsp?main=6&amp;sub=1"
"checkPatientSearchDetails1","admin","confirmSearchPatient1","success","tiles","front-otherspatient-search-details","/HMS Android/fileuploadothers.jsp?main=6&amp;sub=1"
