action_name,class,method,result_name,result_type,result_value,resolved_jsp
"administation2","admin","administation2","success","tiles","administation2","/HMS Android/Administration2.jsp?main=8&amp;sub=0"
"administation3","admin","administation3","success","tiles","administation3","/HMS Android/Administration3.jsp?main=8&amp;sub=0"
"Drugs","admin","Drugs","success","tiles","Drugs","/HMS Android/Drugs.jsp?main=8&amp;sub=0"
"drug1","admin","drug1","success","tiles","drug1","/HMS Android/drug1.jsp?main=8&amp;sub=0"
"drug2","admin","drug2","success","tiles","drug2","/HMS Android/drug2.jsp?main=8&amp;sub=0"
"drug3","admin","drug3","success","tiles","drug3","/HMS Android/drug3.jsp?main=8&amp;sub=0"
"labmain","admin","lab","success","tiles","labmain","/HMS Android/labmain.jsp?main=8&amp;sub=0"
"lab1","admin","lab1","success","tiles","lab1","/HMS Android/lab1.jsp?main=8&amp;sub=0"
"lab2","admin","lab2","success","tiles","lab2","/HMS Android/lab2.jsp?main=8&amp;sub=0"
"lab3","admin","lab3","success","tiles","lab3","/HMS Android/lab3.jsp?main=8&amp;sub=0"
"lab4","admin","lab4","success","tiles","lab4","/HMS Android/lab4.jsp?main=8&amp;sub=0"
"lab5","admin","lab5","success","tiles","lab5","/HMS Android/lab5.jsp?main=8&amp;sub=0"
"lab6","admin","lab6","success","tiles","lab6","/HMS Android/lab6.jsp?main=8&amp;sub=0"
"lab7","admin","lab7","success","tiles","lab7","/HMS Android/lab7.jsp?main=8&amp;sub=0"
"lab8","admin","lab8","success","tiles","lab8","/HMS Android/lab8.jsp?main=8&amp;sub=0"
"lab9","admin","lab9","success","tiles","lab9","/HMS Android/lab9.jsp?main=8&amp;sub=0"
"lab10","admin","lab10","success","tiles","lab10","/HMS Android/lab10.jsp?main=8&amp;sub=0"
"lab11","admin","lab11","success","tiles","lab11","/HMS Android/lab11.jsp?main=8&amp;sub=0"
"Labwhatapp","admin","Labwhatsapp","success","tiles","Labwhatsapp","/HMS Android/Labwhatsapp.jsp?main=8&amp;sub=0"
"Labwhatapp2","admin","Labwhatsapp2","success","tiles","Labwhatsapp2","/HMS Android/Labwhatsapp2.jsp?main=8&amp;sub=0"
"Labwhatapp3","admin","Labwhatsapp3","success","tiles","Labwhatsapp3","/HMS Android/Labwhatsapp3.jsp?main=8&amp;sub=0"
"Labwhatapp4","admin","Labwhatsapp4","success","tiles","Labwhatsapp4","/HMS Android/Labwhatsapp4.jsp?main=8&amp;sub=0"
"gentral","admin","gentral","success","tiles","gentral","/HMS Android/gentral.jsp?main=8&amp;sub=0"
"gentral2","admin","gentral2","success","tiles","gentral2","/HMS Android/gentral2.jsp?main=8&amp;sub=0"
"gentral3","admin","gentral3","success","tiles","gentral3",""
"IPmodule","admin","IPmodule","success","tiles","IPmodule","/HMS Android/IPFaq/IPmodule.jsp?main=8&amp;sub=0"
"IPbilling","admin","IPbilling","success","tiles","IPbilling","/HMS Android/IPFaq/IPbilling.jsp?main=8&amp;sub=0"
"IPmaster","admin","IPmaster","success","tiles","IPmaster","/HMS Android/IPFaq/IPmaster.jsp?main=8&amp;sub=0"
"Advancecancel","admin","Advancecancel","success","tiles","Advancecancel","/HMS Android/IPFaq/Advancecancel.jsp?main=8&amp;sub=0"
"Dischargelist","admin","Dischargelist","success","tiles","Dischargelist","/HMS Android/IPFaq/Dischargelist.jsp?main=8&amp;sub=0"
"canceladmision","admin","canceladmision","success","tiles","canceladmision","/HMS Android/IPFaq/canceladmision.jsp?main=8&amp;sub=0"
"IPdischarge","admin","IPdischarge","success","tiles","IPdischarge","/HMS Android/IPFaq/IPdischarge.jsp?main=8&amp;sub=0"
"insurance","admin","insurance","success","tiles","insurance","/HMS Android/IPFaq/insurance.jsp?main=8&amp;sub=0"
"insurancepre","admin","insurancepre","success","tiles","insurancepre","/HMS Android/IPFaq/insurancepre.jsp?main=8&amp;sub=0"
"insuranceapproval","admin","insuranceapproval","success","tiles","insuranceapproval","/HMS Android/IPFaq/insuranceapproval.jsp?main=8&amp;sub=0"
"insuranceclaim","admin","insuranceclaim","success","tiles","insuranceclaim","/HMS Android/IPFaq/insuranceclaim.jsp?main=8&amp;sub=0"
"insurancereject","admin","insurancereject","success","tiles","insurancereject","/HMS Android/IPFaq/insurancereject.jsp?main=8&amp;sub=0"
"insurancecompany","admin","insurancecompany","success","tiles","insurancecompany","/HMS Android/IPFaq/insurancecompany.jsp?main=8&amp;sub=0"
"Ipreg","admin","Ipreg","success","tiles","Ipreg","/HMS Android/IPFaq/Ipreg.jsp?main=8&amp;sub=0"
"Alreadyreg","admin","Alreadyreg","success","tiles","Alreadyreg","/HMS Android/IPFaq/Alreadyreg.jsp?main=8&amp;sub=0"
"Admissionview","admin","Admissionview","success","tiles","Admissionview","/HMS Android/IPFaq/Admissionview.jsp?main=8&amp;sub=0"
"inpatientlist","admin","inpatientlist","success","tiles","inpatientlist","/HMS Android/IPFaq/inpatientlist.jsp?main=8&amp;sub=0"
"Advanceamount","admin","Advanceamount","success","tiles","Advanceamount","/HMS Android/IPFaq/Advanceamount.jsp?main=8&amp;sub=0"
"Ipcollection","admin","Ipcollection","success","tiles","Ipcollection","/HMS Android/IPFaq/Ipcollection.jsp?main=8&amp;sub=0"
"dischargesummary1","admin","dischargesummary1","success","tiles","dischargesummary1","/HMS Android/IPFaq/dischargesummary1.jsp?main=8&amp;sub=0"
"dischargesummary2","admin","dischargesummary2","success","tiles","dischargesummary2","/HMS Android/IPFaq/dischargesummary2.jsp?main=8&amp;sub=0"
"inpatientreport","admin","inpatientreport","success","tiles","inpatientreport","/HMS Android/IPFaq/inpatientreport.jsp?main=8&amp;sub=0"
"ipbillingcateroy","admin","ipbillingcateroy","success","tiles","ipbillingcateroy","/HMS Android/IPFaq/ipbillingcateroy.jsp?main=8&amp;sub=0"
"ipbillingcomponent","admin","ipbillingcomponent","success","tiles","ipbillingcomponent","/HMS Android/IPFaq/ipbillingcomponent.jsp?main=8&amp;sub=0"
"room","admin","room","success","tiles","room","/HMS Android/IPFaq/room.jsp?main=8&amp;sub=0"
"roomtype","admin","roomtype","success","tiles","roomtype","/HMS Android/IPFaq/roomtype.jsp?main=8&amp;sub=0"
"roomnumber","admin","roomnumber","success","tiles","roomnumber","/HMS Android/IPFaq/roomnumber.jsp?main=8&amp;sub=0"
"roomavab","admin","roomavab","success","tiles","roomavab","/HMS Android/IPFaq/roomavab.jsp?main=8&amp;sub=0"
"billing","admin","billing","success","tiles","billing","/HMS Android/billing.jsp?main=8&amp;sub=0"
"billing1","admin","billing1","success","tiles","billing1","/HMS Android/billing1.jsp?main=8&amp;sub=0"
"billing2","admin","billing2","success","tiles","billing2","/HMS Android/billing2.jsp?main=8&amp;sub=0"
"billing3","admin","billing3","success","tiles","billing3","/HMS Android/billing3.jsp?main=8&amp;sub=0"
"billing4","admin","billing4","success","tiles","billing4","/HMS Android/billing4.jsp?main=8&amp;sub=0"
"billing5","admin","billing5","success","tiles","billing5","/HMS Android/billing5.jsp?main=8&amp;sub=0"
"billing6","admin","billing6","success","tiles","billing6","/HMS Android/billing6.jsp?main=8&amp;sub=0"
"billing7","admin","billing7","success","tiles","billing7","/HMS Android/billing7.jsp?main=8&amp;sub=0"
"billing8","admin","billing8","success","tiles","billing8","/HMS Android/billing8.jsp?main=8&amp;sub=0"
"billing9","admin","billing9","success","tiles","billing9","/HMS Android/billing9.jsp?main=8&amp;sub=0"
"billing10","admin","billing10","success","tiles","billing10","/HMS Android/billing10.jsp?main=8&amp;sub=0"
"faqmain","admin","faqmain","success","tiles","faqmain","/HMS Android/Faqmain.jsp?main=29&amp;sub=0"
"GetAppointment","user","getAppointment","success","tiles","show-slots","/HMS Android/ShowSlots.jsp?main=2&amp;sub=1"
"Patreg","admin","patreg","success","tiles","patreg","/HMS Android/Patreg.jsp?main=8&amp;sub=0"
"Patreg1","admin","patreg1","success","tiles","patreg1","/HMS Android/Patreg1.jsp?main=8&amp;sub=0"
"Patreg2","admin","patreg2","success","tiles","patreg2","/HMS Android/Patreg2.jsp?main=8&amp;sub=0"
"Patreg3","admin","patreg3","success","tiles","patreg3","/HMS Android/Patreg3.jsp?main=8&amp;sub=0"
"Patreg4","admin","patreg4","success","tiles","patreg4","/HMS Android/Patreg4.jsp?main=8&amp;sub=0"
"Patreg5","admin","patreg5","success","tiles","patreg5","/HMS Android/Patreg5.jsp?main=8&amp;sub=0"
"Patreg6","admin","patreg6","success","tiles","patreg6","/HMS Android/Patreg6.jsp?main=8&amp;sub=0"
"PharmacyBilling","admin","PharmacyBilling","success","tiles","PharmacyBilling","/HMS Android/PharmacyBilling.jsp?main=8&amp;sub=0"
"PharmacyBilling1","admin","PharmacyBilling1","success","tiles","PharmacyBilling1","/HMS Android/PharmacyBilling1.jsp?main=8&amp;sub=0"
"PharmacyBilling2","admin","PharmacyBilling2","success","tiles","PharmacyBilling2","/HMS Android/PharmacyBilling2.jsp?main=8&amp;sub=0"
"PharmacyBilling3","admin","PharmacyBilling3","success","tiles","PharmacyBilling3","/HMS Android/PharmacyBilling3.jsp?main=8&amp;sub=0"
"PharmacyBilling4","admin","PharmacyBilling4","success","tiles","PharmacyBilling4","/HMS Android/PharmacyBilling4.jsp?main=8&amp;sub=0"
"PharmacyBilling5","admin","PharmacyBilling5","success","tiles","PharmacyBilling5","/HMS Android/PharmacyBilling5.jsp?main=8&amp;sub=0"
"PharmacyBilling6","admin","PharmacyBilling6","success","tiles","PharmacyBilling6","/HMS Android/PharmacyBilling6.jsp?main=8&amp;sub=0"
"PharmacyBilling7","admin","PharmacyBilling7","success","tiles","PharmacyBilling7","/HMS Android/PharmacyBilling7.jsp?main=8&amp;sub=0"
"PharmacyBilling8","admin","PharmacyBilling8","success","tiles","PharmacyBilling8","/HMS Android/PharmacyBilling8.jsp?main=8&amp;sub=0"
"PharmacyBilling9","admin","PharmacyBilling9","success","tiles","PharmacyBilling9","/HMS Android/PharmacyBilling9.jsp?main=8&amp;sub=0"
"PharmacyBilling10","admin","PharmacyBilling10","success","tiles","PharmacyBilling10","/HMS Android/PharmacyBilling10.jsp?main=8&amp;sub=0"
"PharmacyBilling11","admin","PharmacyBilling11","success","tiles","PharmacyBilling11","/HMS Android/PharmacyBilling11.jsp?main=8&amp;sub=0"
"PharmacyBilling12","admin","PharmacyBilling12","success","tiles","PharmacyBilling12","/HMS Android/PharmacyBilling12.jsp?main=8&amp;sub=0"
"PharmacyBilling13","admin","PharmacyBilling13","success","tiles","PharmacyBilling13","/HMS Android/PharmacyBilling13.jsp?main=8&amp;sub=0"
"PharmacyBilling14","admin","PharmacyBilling14","success","tiles","PharmacyBilling14","/HMS Android/PharmacyBilling14.jsp?main=8&amp;sub=0"
"PharmacyBilling15","admin","PharmacyBilling15","success","tiles","PharmacyBilling15","/HMS Android/PharmacyBilling15.jsp?main=8&amp;sub=0"
"PharmacyBilling16","admin","PharmacyBilling16","success","tiles","PharmacyBilling16","/HMS Android/PharmacyBilling16.jsp?main=8&amp;sub=0"
"PharmacyBilling17","admin","PharmacyBilling17","success","tiles","PharmacyBilling17","/HMS Android/PharmacyBilling17.jsp?main=8&amp;sub=0"
"PharmacyBilling18","admin","PharmacyBilling18","success","tiles","PharmacyBilling18","/HMS Android/PharmacyBilling18.jsp?main=8&amp;sub=0"
"PharmacyBilling19","admin","PharmacyBilling19","success","tiles","PharmacyBilling19","/HMS Android/PharmacyBilling19.jsp?main=8&amp;sub=0"
"PharmacyBilling20","admin","PharmacyBilling20","success","tiles","PharmacyBilling20","/HMS Android/PharmacyBilling20.jsp?main=8&amp;sub=0"
"PharmacyBilling21","admin","PharmacyBilling21","success","tiles","PharmacyBilling21","/HMS Android/PharmacyBilling21.jsp?main=8&amp;sub=0"
"PharmacyReports","admin","PharmacyReports","success","tiles","PharmacyReports","/HMS Android/PharmacyReports.jsp?main=8&amp;sub=0"
"PharmacyReports1","admin","PharmacyReports1","success","tiles","PharmacyReports1","/HMS Android/PharmacyReports1.jsp?main=8&amp;sub=0"
"PharmacyReports2","admin","PharmacyReports2","success","tiles","PharmacyReports2","/HMS Android/PharmacyReports2.jsp?main=8&amp;sub=0"
"PharmacyReports3","admin","PharmacyReports3","success","tiles","PharmacyReports3","/HMS Android/PharmacyReports3.jsp?main=8&amp;sub=0"
"PharmacyReports4","admin","PharmacyReports4","success","tiles","PharmacyReports4","/HMS Android/PharmacyReports4.jsp?main=8&amp;sub=0"
"PharmacyReports5","admin","PharmacyReports5","success","tiles","PharmacyReports5","/HMS Android/PharmacyReports5.jsp?main=8&amp;sub=0"
"PharmacyReports6","admin","PharmacyReports6","success","tiles","PharmacyReports6","/HMS Android/PharmacyReports6.jsp?main=8&amp;sub=0"
"PharmacyReports7","admin","PharmacyReports7","success","tiles","PharmacyReports7","/HMS Android/PharmacyReports7.jsp?main=8&amp;sub=0"
"PharmacyReports8","admin","PharmacyReports8","success","tiles","PharmacyReports8","/HMS Android/PharmacyReports8.jsp?main=8&amp;sub=0"
"PharmacyReports9","admin","PharmacyReports9","success","tiles","PharmacyReports9","/HMS Android/PharmacyReports9.jsp?main=8&amp;sub=0"
"PharmacyReports10","admin","PharmacyReports10","success","tiles","PharmacyReports10","/HMS Android/PharmacyReports10.jsp?main=8&amp;sub=0"
"PharmacyReports11","admin","PharmacyReports11","success","tiles","PharmacyReports11","/HMS Android/PharmacyReports11.jsp?main=8&amp;sub=0"
"PharmacyReports12","admin","PharmacyReports12","success","tiles","PharmacyReports12","/HMS Android/PharmacyReports12.jsp?main=8&amp;sub=0"
"PharmacyReports13","admin","PharmacyReports13","success","tiles","PharmacyReports13","/HMS Android/PharmacyReports13.jsp?main=8&amp;sub=0"
"PharmacyReports14","admin","PharmacyReports14","success","tiles","PharmacyReports14","/HMS Android/PharmacyReports14.jsp?main=8&amp;sub=0"
"PharmacyReports15","admin","PharmacyReports15","success","tiles","PharmacyReports15","/HMS Android/PharmacyReports15.jsp?main=8&amp;sub=0"
"PharmacyReports16","admin","PharmacyReports16","success","tiles","PharmacyReports16","/HMS Android/PharmacyReports16.jsp?main=8&amp;sub=0"
"PharmacyReports17","admin","PharmacyReports17","success","tiles","PharmacyReports17","/HMS Android/PharmacyReports17.jsp?main=8&amp;sub=0"
"PharmacyReports18","admin","PharmacyReports18","success","tiles","PharmacyReports18","/HMS Android/PharmacyReports18.jsp?main=8&amp;sub=0"
"PharmacyReports19","admin","PharmacyReports19","success","tiles","PharmacyReports19","/HMS Android/PharmacyReports19.jsp?main=8&amp;sub=0"
"PharmacyReports20","admin","PharmacyReports20","success","tiles","PharmacyReports20","/HMS Android/PharmacyReports20.jsp?main=8&amp;sub=0"
"PharmacyReports21","admin","PharmacyReports21","success","tiles","PharmacyReports21","/HMS Android/PharmacyReports21.jsp?main=8&amp;sub=0"
"PharmacyReports22","admin","PharmacyReports22","success","tiles","PharmacyReports22","/HMS Android/PharmacyReports22.jsp?main=8&amp;sub=0"
"PharmacyMISmodule","admin","PharmacyMISmodule","success","tiles","PharmacyMISmodule","/HMS Android/PharmacyMISmodule.jsp?main=8&amp;sub=0"
"PharmacyMISmodule1","admin","PharmacyMISmodule1","success","tiles","PharmacyMISmodule1","/HMS Android/PharmacyMISmodule1.jsp?main=8&amp;sub=0"
"PharmacyMISmodule2","admin","PharmacyMISmodule2","success","tiles","PharmacyMISmodule2","/HMS Android/PharmacyMISmodule2.jsp?main=8&amp;sub=0"
"PharmacyMISmodule3","admin","PharmacyMISmodule3","success","tiles","PharmacyMISmodule3","/HMS Android/PharmacyMISmodule3.jsp?main=8&amp;sub=0"
"GetAppointment1","user","getAppointment","success","tiles","show-slots1","/HMS Android/ShowSlots1.jsp?main=2&amp;sub=1"
"GetAppointmentDept","user","consultDisplay2","success","tiles","show-consultant2","/Appointments/001_ConsultantDisplay2.jsp?main=2&amp;sub=4"
"getAppointmentCon","user","getAppointmentCon","success","tiles","show-slots-con","/HMS Android/ShowSlotsApp.jsp?main=2&amp;sub=1"
"getAppointmentCon","user","getAppointmentCon","success","tiles","show-slots-con","/HMS Android/ShowSlotsApp.jsp?main=2&amp;sub=1"
"getAppointmentCon1","user","getAppointmentCon","success","tiles","show-slots-con1","/HMS Android/ShowSlotsApp1.jsp?main=2&amp;sub=1"
"getAppointmentCancel","user","getAppointmentCancel","success","tiles","appSucc","/HMS Android/Success.jsp?"
"getAppointmentCancel1","user","getAppointmentCancel","success","tiles","appSucc1","/HMS Android/Success1.jsp?"
"bookAppointmentCon","user","bookAppointmentCon","success","tiles","bookAppointmentCon","/HMS Android/makeAppointment.jsp?main=2&amp;sub=1"
"bookAppointmentCon","user","bookAppointmentCon","error","tiles","common-error3","/HMS Android/Failure3.jsp?main=1&amp;sub=1"
"bookAppointmentCon1","user","bookAppointmentCon","success","tiles","bookAppointmentCon1","/HMS Android/makeAppointment1.jsp?main=2&amp;sub=1"
"bookAppointmentOthers","user","bookAppointmentOthers","success","tiles","bookAppointmentOthers","/HMS Android/makeAppointmentOthers.jsp?main=2&amp;sub=1"
"AppointReqInput","user","appointReqInput","success","tiles","AppointReqInput","/HMS Android/AppointmentRequisitionInput.jsp?main=2&amp;sub=1"
"getpatientSearchDetailsApp","user","getpatientSearchDetailsApp","success","dispatcher","/HMS Android/Ajax/PatientSearchDetails.jsp","/HMS Android/Ajax/PatientSearchDetails.jsp"
"getpatientSearchDetailsAppothers","user","getpatientSearchDetailsAppothers","success","dispatcher","/HMS Android/Ajax/RelationSearchDetails.jsp","/HMS Android/Ajax/RelationSearchDetails.jsp"
"getOtherpatientList","user","getOtherpatientList","success","dispatcher","/HMS Android/Ajax/RelationSearchDetails.jsp","/HMS Android/Ajax/RelationSearchDetails.jsp"
"confirmAppointment","user","confirmAppointmentop","success","tiles","appSuccwhatsapp","/HMS Android/Successwhatsapp.jsp?"
"confirmAppointmentothers","user","confirmAppointmentOthers","success","tiles","appSucc","/HMS Android/Success.jsp?"
"confirmAppointment1","user","confirmAppointment","success","tiles","appSuccs","/HMS Android/Successe.jsp?"
"confirmAppointmentOthers","user","confirmAppointmentOthers","success","tiles","appSucc","/HMS Android/Success.jsp?"
"reqCancelApp","admin","reqCancelApp","success","tiles","appSuccwhatsapp","/HMS Android/Successwhatsapp.jsp?"
"reqCancelApp1","admin","reqCancelApp1","success","tiles","appSuccmess","/HMS Android/Successes.jsp?"
"reqCancelPat","admin","reqCancelPat","success","tiles","appSuccwhatsapp","/HMS Android/Successwhatsapp.jsp?"
"reqCancelPat1","admin","reqCancelPat","success","tiles","appSuccs","/HMS Android/Successe.jsp?"
"reqCancelPat2","admin","reqCancelPat","success","tiles","appSucc2","/HMS Android/Success2.jsp?"
"reqCancelPatRea","admin","reqCancelPatRea","success","tiles","appSucc","/HMS Android/Success.jsp?"
"patientRegistration","admin","patientRegistration","success","tiles","registration","/HMS Android/PatientCreation.jsp?main=5&amp;sub=1"
"Otherspatient","user","bookAppointmentConothers","success","tiles","registrationothers","/HMS Android/Otherspatient.jsp?main=5&amp;sub=1"
"addPatients","admin","addPatients","success","tiles","addSucc","/HMS Android/Success.jsp"
"addPatients","admin","addPatients","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"patientDeactivate","admin","patientDeactivate","success","tiles","addSucc","/HMS Android/Success.jsp"
"patientDeactivate","admin","patientDeactivate","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"patientActivate","admin","patientActivate","success","tiles","addSucc","/HMS Android/Success.jsp"
"patientActivate","admin","patientActivate","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"patientDelete","admin","patientDelete","success","tiles","addSucc","/HMS Android/Success.jsp"
"patientDelete","admin","patientDelete","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"getpatientAudit","admin","getpatientAudit","success","tiles","patientAudit","/HMS Android/PatientAuditLog.jsp?main=5&amp;sub=3"
"createRole","admin","createRole","success","tiles","role-create","/Masters/RoleInput.jsp?main=7&amp;sub=1"
"addRole","admin","addRole","success","tiles","addSucc","/HMS Android/Success.jsp"
"activateRole","admin","activateRole","success","tiles","addSucc","/HMS Android/Success.jsp"
"deactivateRole","admin","deactivateRole","success","tiles","addSucc","/HMS Android/Success.jsp"
"createUser","admin","createUser","success","tiles","user-create","/Masters/UserDetails.jsp?main=7&amp;sub=2"
"addUserdetails","admin","addUserdetails","success","tiles","user-create","/Masters/UserDetails.jsp?main=7&amp;sub=2"
"reviewdate","admin","reviewdate","success","tiles","reviewdate","/HMS Android/reviewdate.jsp?main=37&amp;sub=1"
"activateUser","admin","activateUser","success","redirect","createUser",""
"deactivateUser","admin","deactivateUser","success","redirect","createUser",""
"changePassword","admin","execute","success","tiles","show-pass-details","/Masters/ChangePasswordDetail.jsp?main=7&amp;sub=3"
"changePasswordDetails","admin","changePasswordDetails","success","tiles","show-pass-succes","/Masters/PasswordSuccess.jsp?main=7&amp;sub=3"
"changePasswordDetails","admin","changePasswordDetails","error","tiles","show-pass-error","/Masters/PasswordError.jsp?main=7&amp;sub=3"
"addUser","admin","addUser","success","admin","createUser",""
"addGivenDrugForBasicDischarge","ip","addGivenDrugForBasicDischarge","success","dispatcher","/IP/Billing/GivenDischargeDrugs.jsp","/IP/Billing/GivenDischargeDrugs.jsp"
"deleteGivenDrugForBasicDischarge","ip","deleteGivenDrugForBasicDischarge","success","dispatcher","/IP/Billing/GivenDischargeDrugs.jsp","/IP/Billing/GivenDischargeDrugs.jsp"
"editUserDetail","admin","editUserDetail","success","tiles","editUser","/Masters/UserDetailEdit.jsp?main=21&amp;sub=2"
"getUserDetailForUpdate","admin","getUserDetailForUpdate","success","tiles","editUser","/Masters/UserDetailEdit.jsp?main=21&amp;sub=2"
"getUserDetailForUpdate","admin","getUserDetailForUpdate","error","tiles","show-pass-general","/Masters/GeneralError.jsp?main=7&amp;sub=2"
"backAdministration","admin","backAdministration","success","tiles","show-pass-details","/Masters/ChangePasswordDetail.jsp?main=7&amp;sub=3"
"consltCancel","admin","consltCancel","success","tiles","consultant","/HMS Android/ConsultantMaster.jsp?main=1&amp;sub=2"
"updateUserDetails","admin","updateUserDetails","success","tiles","appSucc","/HMS Android/Success.jsp?"
"getadminAudit","admin","adminAudit","success","tiles","adminAudit","/HMS Android/AdminAudit.jsp?main=7&amp;sub=4"
"getuploadAudits","admin","getAudit","success","tiles","get-audit","/HMS Android/Auditlog.jsp?main=6&amp;sub=3"
"getuploadMasterAudits","admin","getMasterAudit","success","tiles","get-master-audit","/HMS Android/Masterlog.jsp?main=1&amp;sub=11"
"getuploadAuditpatient","admin","uploadAuditpatient","success","tiles","uploadAuditpatient","/HMS Android/uploadAudit.jsp?main=6&amp;sub=3"
"getuploadAuditdoctor","admin","uploadAuditdoctor","success","tiles","uploadAuditdoctor","/HMS Android/uploadAuditdoctor.jsp?main=6&amp;sub=3"
"deleteImage","admin","deleteImage","success","tiles","get-File-fromNF","/HMS Android/ViewFileUploaded.jsp?main=6&amp;sub=2"
"permaDeleteImage","admin","permaDeleteImage","success","tiles","get-File-fromNF","/HMS Android/ViewFileUploaded.jsp?main=6&amp;sub=2"
"openIFrame","admin","openIFrame","success","dispatcher","/Common/Dummy.jsp","/Common/Dummy.jsp"
"Newseventsview","admin","Newseventsview","success","tiles","viewNewsevent","/HMS Android/ViewNewsEvents.jsp?main=3&amp;sub=2"
"uploadactionone","admin","uploadactionone","success","tiles","imageSucc","/HMS Android/Success.jsp?"
"uploadactiontwo","admin","uploadactiontwo","success","tiles","imageSucc","/HMS Android/Success.jsp?"
"uploadactionthree","admin","uploadactionthree","success","tiles","imageSucc","/HMS Android/Success.jsp?"
"uploadactionfour","admin","uploadactionfour","success","tiles","imageSucc","/HMS Android/Success.jsp?"
"uploadactionfive","admin","uploadactionfive","success","tiles","imageSucc","/HMS Android/Success.jsp?"
"consultantApp","user","consultantApp","success","tiles","consultantApp","/HMS Android/ShowSlotsApp2.jsp?main=1&amp;sub=2"
"reqCancelPatAll","admin","reqCancelPatAll","success","tiles","appSuccA","/HMS Android/Success3.jsp?"
"deleteSelectedAppointments","admin","deleteSelectedAppointments","","","",""
"deleteSelectedAppointments1","admin","deleteSelectedAppointments1","","","",""
"deleteSelectedAppointmentsSuccc","admin","deleteSelectedAppointmentsSuccc","success","tiles","slotTimecwconfirm","/HMS Android/TimingSlotsConfirm_2.jsp?main=2&amp;sub=3"
"deleteSelectedAppointmentsSuccc","admin","deleteSelectedAppointmentsSuccc","error","tiles","apntreqchange","/HMS Android/AppointmentHistory.jsp?main=2&amp;sub=3"
"deleteSelectedAppointmentsSuccc1","admin","deleteSelectedAppointmentsSuccc1","success","tiles","slotTimecwconfirm","/HMS Android/TimingSlotsConfirm_2.jsp?main=2&amp;sub=3"
"deleteSelectedAppointmentsSuccc1","admin","deleteSelectedAppointmentsSuccc1","error","tiles","apntreqchange","/HMS Android/AppointmentHistory.jsp?main=2&amp;sub=3"
"consultanttimeCW","admin","consultanttimeCW1","success","tiles","slotTimecw1","/HMS Android/TimingSlots_old_1.jsp?main=2&amp;sub=3"
"updateconsultTimingCW","admin","updateconsultTimingCW1","success","tiles","slotTimecwconfirmnew1","/HMS Android/TimingSlotsConfirm_1.jsp?main=2&amp;sub=3"
"updateconsultTimingCW","admin","updateconsultTimingCW1","error","tiles","apntreqchange","/HMS Android/AppointmentHistory.jsp?main=2&amp;sub=3"
"updateconsultTimingCWNew","admin","updateconsultTimingCWConfirm1","success","tiles","addSucc","/HMS Android/Success.jsp"
"updateconsultTimingCWNew","admin","updateconsultTimingCWConfirm1","error","tiles","apntreqchange","/HMS Android/AppointmentHistory.jsp?main=2&amp;sub=3"
"updateconsultTimingCWConfirm","admin","consultanttimeCW1","success","tiles","slotTimecwconfirmnew2","/HMS Android/TimingSlotsConfirm_2.jsp?main=2&amp;sub=3"
"updateconsultTimingCWConfirm","admin","consultanttimeCW1","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"othersactivepatient","admin","othersactivepatient","success","tiles","other-active-patient","/HMS Android/otheractivepatient.jsp?main=1&amp;sub=2"
"consultanttimeMaster","admin","consultanttimeMaster1","success","tiles","slotTimemaster1","/HMS Android/TimingSlotsMasterNew.jsp?main=1&amp;sub=2"
"updateconsultTimings","admin","updateconsultTimings1","success","tiles","slotTimemasterconfirm1","/HMS Android/TimingSlotsMasterConfirmNew.jsp?main=1&amp;sub=2"
"getOtherpatientListRelation","user","getOtherpatientListRelation","success","tiles","relation","/HMS Android/Relation.jsp?main=1&amp;sub=2"
"productMaster","admin","productMaster","success","tiles","master-report","/HMS Android/MasterReport.jsp?main=30&amp;sub=0"
"getProductAdd","admin","getProductAdd","success","tiles","product-add","/Pharmacy/ProductAddition.jsp?main=15&amp;sub=42"
"createProduct","admin","createProduct","success","tiles","product-create","/HMS Android/ProductMessage.jsp?main=15&amp;sub=5"
"getUpdateProductDetails","admin","getUpdateProductDetails","success","tiles","master-report","/HMS Android/MasterReport.jsp?main=30&amp;sub=0"
"deleteProductDetails","admin","deleteProductDetails","success","tiles","master-report","/HMS Android/MasterReport.jsp?main=30&amp;sub=0"
"updateProductDetail","admin","updateProductDetail","success","tiles","master-report","/HMS Android/MasterReport.jsp?main=30&amp;sub=0"
"activateProductDetails","admin","activateProductDetails","success","tiles","master-report","/HMS Android/MasterReport.jsp?main=30&amp;sub=0"
"consultantWiseproductMaster","admin","getconsultantWiseproductMaster","success","tiles","getConsultantWiseDrug","/HMS Android/addConsultantDrug.jsp?main=17&amp;sub=6"
"addConsultantDrug","admin","addConsultantDrug","success","tiles","appSuccA","/HMS Android/Success3.jsp?"
"addConsultantDrug","admin","addConsultantDrug","error","tiles","appSuccA","/HMS Android/Success3.jsp?"
"getDrugByNameFromProductMaster","admin","getDrugByNameFromProductMaster","","","",""
